Danh mục,Ghi chú,Giá,Ngày giao dịch,Ngày tạo,Ngày sửa
Tiet kiem,Rút lõi,10000,1707147096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707233496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707319896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707406296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707492696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707579096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707665496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707751896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707838296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1707924696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708011096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708097496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708183896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708270296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708356696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708443096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708529496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708615896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708702296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708788696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708875096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1708961496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709047896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709134296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709220696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709307096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709393496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709479896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709566296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709652696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709739096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709825496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709911896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1709998296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710084696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710171096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710257496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710343896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710430296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710516696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710603096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710689496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710775896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710862296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1710948696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711035096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711121496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711207896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711294296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711380696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711467096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711553496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711639896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711726296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711812696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711899096000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1711985496000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1712071896000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1712158296000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Tiet kiem,Rút lõi,10000,1712244696000,2024-03-23T23:14:56+07:00,2024-03-23T23:14:56+07:00
Phu Cap,Lương hưu,5000000,1704468696000,2024-03-23T23:16:27+07:00,2024-03-23T23:16:27+07:00
Phu Cap,Lương hưu,5000000,1707147096000,2024-03-23T23:16:27+07:00,2024-03-23T23:16:27+07:00
Phu Cap,Lương hưu,5000000,1709652696000,2024-03-23T23:16:27+07:00,2024-03-23T23:16:27+07:00
